Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2023,June,4 Western, West Wimmera,111,2823.0
2023,June,4 Western, Yarriambiack,320,5009.4
2023,June,4 Western,Total,60393,5627.1
2023,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1090,
2023,June,Justice Institutions and Immigration Facilities,Total,1090,
2023,June,Unincorporated Vic, Unincorporated Vic,84,
2023,June,Unincorporated Vic,Total,84,
2022,June,1 North West Metro, Banyule,5179,4064.3
2022,June,1 North West Metro, Brimbank,11833,6118.7
2022,June,1 North West Metro, Darebin,9064,6018.4
2022,June,1 North West Metro, Hobsons Bay,4769,5191.4
2022,June,1 North West Metro, Hume,11774,4650.4
2022,June,1 North West Metro, Maribyrnong,6845,7813.5
2022,June,1 North West Metro, Melbourne,25396,15840.0
2022,June,1 North West Metro, Melton,8570,4433.9
2022,June,1 North West Metro, Merri-bek,8874,5074.2
2022,June,1 North West Metro, Moonee Valley,6008,4879.8
2022,June,1 North West Metro, Nillumbik,1298,2058.2
2022,June,1 North West Metro, Whittlesea,8639,3642.9
2022,June,1 North West Metro, Wyndham,12175,3935.1
2022,June,1 North West Metro, Yarra,8716,9433.7
2022,June,1 North West Metro,Total,129140,5720.0
2022,June,2 Eastern, Alpine,380,2880.8
2022,June,2 Eastern, Bass Coast,2129,5091.7
2022,June,2 Eastern, Baw Baw,2954,4983.4
2022,June,2 Eastern, Benalla,928,6416.4
2022,June,2 Eastern, Boroondara,5463,3220.5
2022,June,2 Eastern, East Gippsland,3624,7405.1
2022,June,2 Eastern, Greater Shepparton,5657,8202.8
2022,June,2 Eastern, Indigo,482,2766.1
2022,June,2 Eastern, Knox,6391,4005.7
2022,June,2 Eastern, Latrobe,7609,9792.2
2022,June,2 Eastern, Manningham,2765,2184.6
2022,June,2 Eastern, Mansfield,310,2998.6
2022,June,2 Eastern, Maroondah,4973,4296.0
2022,June,2 Eastern, Mitchell,2314,4477.4
2022,June,2 Eastern, Moira,1448,4734.5
2022,June,2 Eastern, Monash,8375,4293.1
2022,June,2 Eastern, Murrindindi,514,3347.9
2022,June,2 Eastern, South Gippsland,1197,3898.0
2022,June,2 Eastern, Strathbogie,400,3473.7
2022,June,2 Eastern, Towong,126,2032.9
2022,June,2 Eastern, Wangaratta,1627,5438.7
2022,June,2 Eastern, Wellington,3030,6613.1
2022,June,2 Eastern, Whitehorse,5426,3143.6
2022,June,2 Eastern, Wodonga,2692,6157.9
2022,June,2 Eastern, Yarra Ranges,4894,3108.0
2022,June,2 Eastern,Total,75708,4416.3
2022,June,3 Southern Metro, Bayside,3468,3392.0
2022,June,3 Southern Metro, Cardinia,4374,3550.9
2022,June,3 Southern Metro, Casey,13948,3679.2
2022,June,3 Southern Metro, Frankston,8312,5888.3
2022,June,3 Southern Metro, Glen Eira,5135,3382.2
2022,June,3 Southern Metro, Greater Dandenong,11322,7107.6
2022,June,3 Southern Metro, Kingston,7003,4373.9
2022,June,3 Southern Metro, Mornington Peninsula,6568,3869.6
2022,June,3 Southern Metro, Port Phillip,9172,8811.1
2022,June,3 Southern Metro, Stonnington,7882,7399.3
2022,June,3 Southern Metro,Total,77184,4832.3
2022,June,4 Western, Ararat,889,7560.8
2022,June,4 Western, Ballarat,7645,6589.9
2022,June,4 Western, Buloke,224,3660.1
2022,June,4 Western, Campaspe,2500,6484.1
2022,June,4 Western, Central Goldfields,817,6042.9
2022,June,4 Western, Colac-Otway,1169,5266.2
2022,June,4 Western, Corangamite,575,3594.0
2022,June,4 Western, Gannawarra,538,5107.3
2022,June,4 Western, Glenelg,1257,6269.6
2022,June,4 Western, Golden Plains,452,1785.1
2022,June,4 Western, Greater Bendigo,7323,5968.0
2022,June,4 Western, Greater Geelong,14652,5297.2
2022,June,4 Western, Hepburn,442,2667.0
2022,June,4 Western, Hindmarsh,261,4659.9
2022,June,4 Western, Horsham,1601,7868.1
2022,June,4 Western, Loddon,374,4825.8
2022,June,4 Western, Macedon Ranges,1412,2704.9
2022,June,4 Western, Mildura,5143,8983.4
2022,June,4 Western, Moorabool,1453,3771.5
2022,June,4 Western, Mount Alexander,725,3567.2
2022,June,4 Western, Moyne,534,3055.3
2022,June,4 Western, Northern Grampians,791,6658.8
2022,June,4 Western, Pyrenees,305,3985.4
2022,June,4 Western, Queenscliffe,110,3415.1
2022,June,4 Western, Southern Grampians,754,4597.3
2022,June,4 Western, Surf Coast,961,2485.0
2022,June,4 Western, Swan Hill,1640,7721.6
2022,June,4 Western, Warrnambool,2114,5942.2
2022,June,4 Western, West Wimmera,134,3398.4
2022,June,4 Western, Yarriambiack,305,4738.2
2022,June,4 Western,Total,57100,5384.5
2022,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,857,
2022,June,Justice Institutions and Immigration Facilities,Total,857,
2022,June,Unincorporated Vic, Unincorporated Vic,84,
2022,June,Unincorporated Vic,Total,84,
2021,June,1 North West Metro, Banyule,6189,4859.1
2021,June,1 North West Metro, Brimbank,14316,7280.6
2021,June,1 North West Metro, Darebin,11315,7528.5
2021,June,1 North West Metro, Hobsons Bay,4431,4802.4
2021,June,1 North West Metro, Hume,15232,6168.8
2021,June,1 North West Metro, Maribyrnong,7075,8190.1
2021,June,1 North West Metro, Melbourne,25562,16695.2
2021,June,1 North West Metro, Melton,9595,5291.0
2021,June,1 North West Metro, Merri-bek,10104,5823.6
2021,June,1 North West Metro, Moonee Valley,6179,5025.6
2021,June,1 North West Metro, Nillumbik,1480,2332.5
2021,June,1 North West Metro, Whittlesea,11173,4819.5
2021,June,1 North West Metro, Wyndham,12751,4303.1
2021,June,1 North West Metro, Yarra,10289,11242.2
2021,June,1 North West Metro,Total,145691,6580.7
2021,June,2 Eastern, Alpine,372,2825.5
2021,June,2 Eastern, Bass Coast,2141,5263.7
2021,June,2 Eastern, Baw Baw,3438,5966.9
2021,June,2 Eastern, Benalla,1001,6934.1
2021,June,2 Eastern, Boroondara,5506,3242.8
2021,June,2 Eastern, East Gippsland,3567,7358.1
2021,June,2 Eastern, Greater Shepparton,5912,8627.4
2021,June,2 Eastern, Indigo,417,2417.3
2021,June,2 Eastern, Knox,7795,4857.3
2021,June,2 Eastern, Latrobe,8747,11342.5
2021,June,2 Eastern, Manningham,3300,2622.8
2021,June,2 Eastern, Mansfield,400,3952.2
2021,June,2 Eastern, Maroondah,5666,4881.3
